hea_id,cas_id,case_number,cth_id,courthouse_name,ctr_id,courtroom_name,start_ts,end_ts,usr_id,defendant_name,judge_name
3338070,1334385,T202300273,41,CROYDON JURYS INN,204,11,2023-12-12T22:04:33.000z,2023-12-12T23:04:33.000z,241,Emir,Default, Judge
3342677,1336229,T201100389,41,CROYDON JURYS INN,204,11,2012-01-02T12:11:35.000z,2012-01-02T13:11:35.000z,615,Maya,THE RECORDER OF CROYDON JURYS INN
3344277,1336867,T200900429,41,CROYDON JURYS INN,205,12,2009-04-16T17:05:58.000z,2009-04-16T18:05:58.000z,241,Raylan,Buckley QC
3348816,1338678,T201200542,41,CROYDON JURYS INN,204,11,2012-09-22T21:31:32.000z,2012-09-22T22:31:32.000z,241,Keith,HIS HONOUR JUDGE Golden
3351901,1339928,T201400620,41,CROYDON JURYS INN,205,12,2014-09-07T11:30:36.000z,2014-09-07T12:30:36.000z,-101,Alex,Her Honour Judge Horn
3383325,1352535,T201301408,41,CROYDON JURYS INN,205,12,2013-05-08T15:15:51.000z,2013-05-08T16:15:51.000z,-101,Joaquin,NONE
3522328,1407972,T200900073,28,CHESTER CROWNE PLAZA,163,1,2009-01-26T07:58:41.000z,2009-01-26T08:58:41.000z,-101,Harrison,NONE
3547300,1417977,T201400698,28,CHESTER CROWNE PLAZA,163,1,2014-12-31T09:58:42.000z,2014-12-31T10:58:42.000z,221,Damon,Gaines QC
3557891,1422171,T201600960,28,CHESTER CROWNE PLAZA,164,2,2016-02-24T17:13:58.000z,2016-02-24T18:13:58.000z,-101,Skylar,THE RECORDER OF CHESTER CROWNE PLAZA
3572966,1428252,T201701340,28,CHESTER CROWNE PLAZA,164,2,2017-12-28T18:41:17.000z,2017-12-28T19:41:17.000z,221,Skylar,THE RECORDER OF CHESTER CROWNE PLAZA
3591670,1435755,T201600209,37,CROWN COURT AT HOLBORN,190,2,2016-06-01T15:48:35.000z,2016-06-01T16:48:35.000z,241,Brodie,HIS HONOUR JUDGE Freeman
3592629,1436128,T202100232,37,CROWN COURT AT HOLBORN,190,2,2021-03-26T08:56:49.000z,2021-03-26T09:56:49.000z,221,Easton,NONE
3596586,1437718,T201100332,37,CROWN COURT AT HOLBORN,190,2,2011-10-21T07:10:11.000z,2011-10-21T08:10:11.000z,-101,Ronald,Default, Judge
3596833,1437813,T201000338,37,CROWN COURT AT HOLBORN,189,1,2010-02-01T00:36:23.000z,2010-02-01T01:36:23.000z,241,Felix,NONE
3644274,1456793,T201401524,37,CROWN COURT AT HOLBORN,190,2,2014-05-19T16:51:23.000z,2014-05-19T17:51:23.000z,221,Joyce,Kaur QC
3671952,1467782,T201100611,38,CROWN COURT AT MONUMENT,191,1,2011-06-22T17:21:19.000z,2011-06-22T18:21:19.000z,241,Clara,THE RECORDER OF CROWN COURT AT MONUMENT
3676104,1469488,T202100717,38,CROWN COURT AT MONUMENT,192,2,2021-06-12T22:27:46.000z,2021-06-12T23:27:46.000z,241,Hanna,THE RECORDER OF CROWN COURT AT MONUMENT
3677182,1469925,T201000745,38,CROWN COURT AT MONUMENT,192,2,2010-07-27T08:23:15.000z,2010-07-27T09:23:15.000z,241,Amirah,N/A
3708630,1482447,T202001527,38,CROWN COURT AT MONUMENT,191,1,2020-12-04T02:35:43.000z,2020-12-04T03:35:43.000z,-101,Jonah,Default, Judge
3767817,1506189,T201801411,7,BASILDON,21,199,2018-12-19T17:31:41.000z,2018-12-19T18:31:41.000z,41,Malakai,His Honour Judge Hurst
3888281,1554379,T201604423,7,BASILDON,19,101,2016-10-18T07:05:39.000z,2016-10-18T08:05:39.000z,565,Cataleya,N/A
4039379,1614915,T202400206,23,CARMARTHEN,130,1,2024-07-22T10:11:16.000z,2024-07-22T11:11:16.000z,221,Donald,Her Honour Judge Fischer
4059756,1623082,T201500717,23,CARMARTHEN,130,1,2015-01-30T07:54:25.000z,2015-01-30T08:54:25.000z,905,Avianna,NONE
4088467,1634608,T202101437,23,CARMARTHEN,131,99,2021-11-25T06:40:10.000z,2021-11-25T07:40:10.000z,221,Naomi,Armstrong KC
4122792,1648242,T202300689,82,M40 J15 WARWICK HOTEL,421,1,2023-02-19T03:30:25.000z,2023-02-19T04:30:25.000z,466,Steven,N/A
4175702,1669330,T202300407,18,CAERNARFON,98,2,2023-03-04T03:50:16.000z,2023-03-04T04:50:16.000z,221,Priscilla,THE RECORDER OF CAERNARFON
4179212,1670758,T201100497,18,CAERNARFON,97,1,2011-11-12T08:51:36.000z,2011-11-12T09:51:36.000z,241,Milan,Butler KC
4187935,1674243,T202400714,18,CAERNARFON,98,2,2024-08-28T05:27:46.000z,2024-08-28T06:27:46.000z,-101,Caroline,THE RECORDER OF CAERNARFON
4198593,1678524,T201700982,18,CAERNARFON,97,1,2017-04-27T08:56:58.000z,2017-04-27T09:56:58.000z,241,Moises,Her Honour Judge Mathews
4277686,1710169,T201301360,49,GLOUCESTER,249,2,2013-05-22T20:46:59.000z,2013-05-22T21:46:59.000z,241,Athena,N/A
4299392,1718924,T201600307,43,DONCASTER,213,2,2016-05-18T15:36:28.000z,2016-05-18T16:36:28.000z,-101,Kian,Her Honour Judge Newton
4307179,1722023,T201100501,43,DONCASTER,212,1,2011-01-16T17:14:14.000z,2011-01-16T18:14:14.000z,241,Katalina,HIS HONOUR JUDGE Solis
4316198,1725617,T202100725,43,DONCASTER,213,2,2021-04-26T12:31:48.000z,2021-04-26T13:31:48.000z,241,Philip,THE RECORDER OF DONCASTER
4320532,1727335,T201100833,43,DONCASTER,212,1,2011-08-22T08:31:14.000z,2011-08-22T09:31:14.000z,221,Lydia,HIS HONOUR JUDGE Huffman
4333238,1732432,T202001151,43,DONCASTER,213,2,2020-06-23T06:09:24.000z,2020-06-23T07:09:24.000z,-101,Trent,His Honour Judge Espinosa
4343232,1736431,T201901401,43,DONCASTER,213,2,2019-04-17T17:22:16.000z,2019-04-17T18:22:16.000z,617,Roland,Collins QC
4421341,1767681,T201900154,31,CHICHESTER,169,1,2019-02-08T01:56:19.000z,2019-02-08T02:56:19.000z,241,Franco,Bowers KC
4432090,1771977,T201100423,31,CHICHESTER,169,1,2011-02-01T19:05:47.000z,2011-02-01T20:05:47.000z,241,Kaiser,Her Honour Judge Farley
4432808,1772266,T201200441,31,CHICHESTER,169,1,2012-11-01T05:14:52.000z,2012-11-01T06:14:52.000z,-101,Shiloh,NONE
4437011,1773966,T201600547,31,CHICHESTER,169,1,2016-11-01T09:56:44.000z,2016-11-01T10:56:44.000z,718,Reuben,HER HONOUR JUDGE Duarte
4437316,1774090,T201200555,31,CHICHESTER,169,1,2012-04-24T02:00:16.000z,2012-04-24T03:00:16.000z,221,Ameer,NONE
4437667,1774232,T201000564,31,CHICHESTER,169,1,2010-04-06T01:11:14.000z,2010-04-06T02:11:14.000z,221,Rocky,HIS HONOUR JUDGE Cain
4449664,1779011,T202100862,31,CHICHESTER,169,1,2021-02-01T14:27:27.000z,2021-02-01T15:27:27.000z,904,Reginald,Rowland QC
4487588,1794182,T202300210,93,NEWCASTLE UPON TYNE,490,7,2023-09-17T10:04:42.000z,2023-09-17T11:04:42.000z,742,Corey,THE RECORDER OF NEWCASTLE UPON TYNE
4489769,1795053,T201400265,93,NEWCASTLE UPON TYNE,488,5,2014-01-17T08:45:21.000z,2014-01-17T09:45:21.000z,241,Emmitt,NONE
4494690,1797024,T201700388,93,NEWCASTLE UPON TYNE,487,4,2017-03-20T18:29:55.000z,2017-03-20T19:29:55.000z,7873,Harleigh,N/A
4505756,1801448,T200900665,93,NEWCASTLE UPON TYNE,489,6,2009-06-02T11:40:05.000z,2009-06-02T12:40:05.000z,-101,Dante,N/A
4520563,1807358,T201501034,93,NEWCASTLE UPON TYNE,486,3,2015-07-28T12:12:41.000z,2015-07-28T13:12:41.000z,7873,Harvey,Bean QC
4525212,1809206,T202301149,93,NEWCASTLE UPON TYNE,486,3,2023-03-29T09:25:33.000z,2023-03-29T10:25:33.000z,-101,Watson,HER HONOUR JUDGE Armstrong
4533765,1812635,T201201364,93,NEWCASTLE UPON TYNE,486,3,2012-01-22T09:09:04.000z,2012-01-22T10:09:04.000z,-101,Cali,N/A
4546746,1817719,T202401681,93,NEWCASTLE UPON TYNE,486,3,2024-04-03T00:34:47.000z,2024-04-03T01:34:47.000z,241,Genesis,Dickerson KC
4547877,1818170,T201101710,93,NEWCASTLE UPON TYNE,485,2,2011-04-04T06:19:40.000z,2011-04-04T07:19:40.000z,241,Baker,Her Honour Judge Atkinson
4547917,1818185,T201001711,93,NEWCASTLE UPON TYNE,491,8,2010-10-30T14:39:09.000z,2010-10-30T15:39:09.000z,241,Luciano,N/A
4562563,1824111,T201602081,93,NEWCASTLE UPON TYNE,487,4,2016-09-14T08:50:38.000z,2016-09-14T09:50:38.000z,-101,Vivian,HIS HONOUR JUDGE O???Connell
4568436,1826405,T202202224,93,NEWCASTLE UPON TYNE,492,9,2022-02-07T09:32:18.000z,2022-02-07T10:32:18.000z,184,Ahmir,N/A
4570636,1827296,T201702280,93,NEWCASTLE UPON TYNE,487,4,2017-09-05T20:54:54.000z,2017-09-05T21:54:54.000z,221,Grant,His Honour Judge Hale
4602724,1840150,T202303083,93,NEWCASTLE UPON TYNE,477,1,2023-12-31T01:38:55.000z,2023-12-31T02:38:55.000z,241,Donovan,His Honour Judge Norman
4611602,1843685,T202203304,93,NEWCASTLE UPON TYNE,483,15,2022-08-12T21:20:06.000z,2022-08-12T22:20:06.000z,183,Jessica,His Honour Judge Durham
4616591,1845695,T201603430,93,NEWCASTLE UPON TYNE,483,15,2016-05-02T02:53:31.000z,2016-05-02T03:53:31.000z,686,Felix,Her Honour Judge Miller
4617282,1845951,T201603446,93,NEWCASTLE UPON TYNE,487,4,2016-07-27T06:57:54.000z,2016-07-27T07:57:54.000z,201,Colton,His Honour Judge Berg
4641081,1855485,T201404042,93,NEWCASTLE UPON TYNE,480,12,2014-11-21T02:25:36.000z,2014-11-21T03:25:36.000z,-101,Itzayana,NONE
4647986,1858237,T201404214,93,NEWCASTLE UPON TYNE,477,1,2014-09-09T02:58:26.000z,2014-09-09T03:58:26.000z,201,Emely,Romero KC
4653242,1860352,T201704346,93,NEWCASTLE UPON TYNE,479,11,2017-11-10T12:24:52.000z,2017-11-10T13:24:52.000z,686,Annabelle,N/A
4656275,1861566,T201504422,93,NEWCASTLE UPON TYNE,478,10,2015-08-07T13:08:07.000z,2015-08-07T14:08:07.000z,221,Poppy,HIS HONOUR JUDGE Velasquez
4656813,1861772,T201304435,93,NEWCASTLE UPON TYNE,478,10,2013-03-06T16:32:54.000z,2013-03-06T17:32:54.000z,688,Princess,HIS HONOUR JUDGE Berg
4664053,1864642,T201904614,93,NEWCASTLE UPON TYNE,487,4,2019-06-14T05:47:34.000z,2019-06-14T06:47:34.000z,241,Jocelyn,Default, Judge
4670342,1867177,T201004773,93,NEWCASTLE UPON TYNE,489,6,2010-03-03T22:06:46.000z,2010-03-03T23:06:46.000z,7873,Alina,N/A
4679670,1870898,T201905005,93,NEWCASTLE UPON TYNE,486,3,2019-04-11T10:47:15.000z,2019-04-11T11:47:15.000z,221,Amalia,N/A
4687711,1874094,T201505205,93,NEWCASTLE UPON TYNE,485,2,2015-08-20T14:39:24.000z,2015-08-20T15:39:24.000z,7873,Marco,THE RECORDER OF NEWCASTLE UPON TYNE
4691695,1875717,T202205306,93,NEWCASTLE UPON TYNE,481,13,2022-05-26T05:29:48.000z,2022-05-26T06:29:48.000z,221,Greyson,HIS HONOUR JUDGE Trevino
4692724,1876128,T201705332,93,NEWCASTLE UPON TYNE,481,13,2017-12-28T13:25:55.000z,2017-12-28T14:25:55.000z,182,Banks,HER HONOUR JUDGE Foley
4696343,1877547,T201205421,93,NEWCASTLE UPON TYNE,488,5,2012-08-24T02:20:02.000z,2012-08-24T03:20:02.000z,241,Anderson,HIS HONOUR JUDGE Walker
4698439,1878384,T201705473,93,NEWCASTLE UPON TYNE,483,15,2017-10-13T00:00:46.000z,2017-10-13T01:00:46.000z,182,Bellamy,THE RECORDER OF NEWCASTLE UPON TYNE
4698811,1878536,T200905483,93,NEWCASTLE UPON TYNE,488,5,2009-02-10T08:08:00.000z,2009-02-10T09:08:00.000z,221,Johnathan,Her Honour Judge Grant
4708762,1882488,T200905730,93,NEWCASTLE UPON TYNE,487,4,2009-01-17T14:27:19.000z,2009-01-17T15:27:19.000z,-101,Curtis,NONE
4719116,1886623,T201605988,93,NEWCASTLE UPON TYNE,481,13,2016-08-29T13:03:01.000z,2016-08-29T14:03:01.000z,-101,Estella,Her Honour Judge Khan
4742679,1896076,T201306579,93,NEWCASTLE UPON TYNE,482,14,2013-09-27T16:21:16.000z,2013-09-27T17:21:16.000z,687,Milan,HER HONOUR JUDGE Rhodes
4752376,1899939,T202006820,93,NEWCASTLE UPON TYNE,484,17,2020-11-14T15:13:22.000z,2020-11-14T16:13:22.000z,221,Opal,David KC
4761357,1903558,T202307046,93,NEWCASTLE UPON TYNE,479,11,2023-06-24T10:17:40.000z,2023-06-24T11:17:40.000z,-101,Estella,HIS HONOUR JUDGE Lang
4785319,1913156,T202107646,93,NEWCASTLE UPON TYNE,489,6,2021-10-31T15:33:23.000z,2021-10-31T16:33:23.000z,221,Sam,Salazar QC
4799045,1918633,T201007989,93,NEWCASTLE UPON TYNE,486,3,2010-06-30T10:22:43.000z,2010-06-30T11:22:43.000z,241,Naya,Her Honour Judge James
4821841,1927728,T201708557,93,NEWCASTLE UPON TYNE,486,3,2017-06-23T17:24:10.000z,2017-06-23T18:24:10.000z,183,Bodie,Shaw KC
4836046,1933400,T200908912,93,NEWCASTLE UPON TYNE,492,9,2009-07-30T00:17:31.000z,2009-07-30T01:17:31.000z,182,Vada,N/A
4836660,1933650,T201908927,93,NEWCASTLE UPON TYNE,481,13,2019-02-25T13:13:20.000z,2019-02-25T14:13:20.000z,202,Elliott,NONE
