hea_id,start_ts,end_ts,usr_id,email,courthouse_name,defendant_name,judge_name
18205474,2023-08-03T06:57:58.000z,2023-08-03T07:57:58.000z,202,PerfTranscriber19@hmcts.net,OXFORD,Tori,Default, Judge
11238838,2024-03-16T01:12:08.000z,2024-03-16T02:12:08.000z,861,PerfTranscriber21@hmcts.net,BURNLEY,Roland,Default, Judge
20448516,2024-02-04T07:26:27.000z,2024-02-04T08:26:27.000z,862,PerfTranscriber25@hmcts.net,ISLEWORTH,Conner,Default, Judge
185100,2023-11-08T17:35:34.000z,2023-11-08T18:35:34.000z,881,PerfTranscriber22@hmcts.net,CIRENCESTER COURTHOUSE,Penelope,N/A
1847193,2023-10-08T19:16:29.000z,2023-10-08T20:16:29.000z,882,PerfTranscriber28@hmcts.net,BIRMINGHAM LIBRARY AND REP,Bryson,THE RECORDER OF BIRMINGHAM LIBRARY AND REP
1529018,2023-06-08T01:22:53.000z,2023-06-08T02:22:53.000z,883,PerfTranscriber33@hmcts.net,CHESTER MAGISTRATES COURT,Paxton,HER HONOUR JUDGE Hess
3686364,2023-12-04T05:22:52.000z,2023-12-04T06:22:52.000z,883,PerfTranscriber33@hmcts.net,CROWN COURT AT MONUMENT,River,NONE
168691,2023-07-23T03:43:19.000z,2023-07-23T04:43:19.000z,884,PerfTranscriber40@hmcts.net,CIRENCESTER COURTHOUSE,Oliver,THE RECORDER OF CIRENCESTER COURTHOUSE
3382430,2023-08-28T06:41:24.000z,2023-08-28T07:41:24.000z,884,PerfTranscriber40@hmcts.net,CROYDON JURYS INN,Novalee,Callahan QC
21236992,2023-12-27T16:28:46.000z,2023-12-27T17:28:46.000z,901,PerfTranscriber23@hmcts.net,HARROW,Jaxson,THE RECORDER OF HARROW
3540056,2023-06-02T03:59:10.000z,2023-06-02T04:59:10.000z,902,PerfTranscriber29@hmcts.net,CHESTER CROWNE PLAZA,Hugh,HER HONOUR JUDGE Armstrong
3632825,2024-04-27T03:57:21.000z,2024-04-27T04:57:21.000z,902,PerfTranscriber29@hmcts.net,CROWN COURT AT HOLBORN,Kora,Default, Judge
26136811,2024-03-17T17:05:35.000z,2024-03-17T18:05:35.000z,902,PerfTranscriber29@hmcts.net,DURHAM,Destiny,N/A
1258992,2023-08-26T03:54:16.000z,2023-08-26T04:54:16.000z,903,PerfTranscriber32@hmcts.net,BOLTON STADIUM,Judson,Her Honour Judge Owen
4469918,2023-07-26T16:27:06.000z,2023-07-26T17:27:06.000z,904,PerfTranscriber36@hmcts.net,CHICHESTER,Penny,N/A
4078452,2024-02-11T13:24:15.000z,2024-02-11T14:24:15.000z,905,PerfTranscriber43@hmcts.net,CARMARTHEN,Shane,HIS HONOUR JUDGE Mills
7154875,2023-12-30T10:28:54.000z,2023-12-30T11:28:54.000z,921,PerfTranscriber24@hmcts.net,INNER LONDON,Legend,HER HONOUR JUDGE Liu
13045176,2023-05-20T14:40:21.000z,2023-05-20T15:40:21.000z,922,PerfTranscriber35@hmcts.net,MERTHYR TYDFIL,Faith,Holmes KC
17966210,2023-03-21T19:47:50.000z,2023-03-21T20:47:50.000z,923,PerfTranscriber42@hmcts.net,TEESSIDE,Alex,Her Honour Judge Ayala
2554673,2023-05-11T22:24:13.000z,2023-05-11T23:24:13.000z,941,PerfTranscriber26@hmcts.net,CHELMSFORD NEW MAGISTRATES,Journee,Marquez KC
14302853,2023-12-19T12:13:38.000z,2023-12-19T13:13:38.000z,942,PerfTranscriber31@hmcts.net,BOLTON,Harry,THE RECORDER OF BOLTON
5100215,2023-12-06T03:28:39.000z,2023-12-06T04:28:39.000z,943,PerfTranscriber39@hmcts.net,SNARESBROOK,Bennett,Walters KC
11161233,2024-01-23T07:11:04.000z,2024-01-23T08:11:04.000z,961,PerfTranscriber27@hmcts.net,CHESTER,Kase,Whitney KC
1358218,2023-09-13T05:45:33.000z,2023-09-13T06:45:33.000z,961,PerfTranscriber27@hmcts.net,CROWN COURT AT ALDERSGATE HOUSE,Adriana,Her Honour Judge Alvarez
255172,2024-01-23T05:33:03.000z,2024-01-23T06:33:03.000z,961,PerfTranscriber27@hmcts.net,DORCHESTER,Kalel,Default, Judge
11551427,2023-11-24T09:43:16.000z,2023-11-24T10:43:16.000z,962,PerfTranscriber41@hmcts.net,COVENTRY,Johnathan,N/A
14897534,2024-04-06T13:57:44.000z,2024-04-06T14:57:44.000z,981,PerfTranscriber34@hmcts.net,NORWICH,Boston,THE RECORDER OF NORWICH
23524090,2023-06-22T16:34:06.000z,2023-06-22T17:34:06.000z,982,PerfTranscriber38@hmcts.net,LEICESTER,Freya,Her Honour Judge Mack
7803633,2023-03-08T14:06:32.000z,2023-03-08T15:06:32.000z,983,PerfTranscriber45@hmcts.net,LUTON,Yousef,Default, Judge
11273242,2023-10-02T12:40:53.000z,2023-10-02T13:40:53.000z,1001,PerfTranscriber37@hmcts.net,BURNLEY,Bear,Default, Judge
5763349,2023-05-12T18:35:05.000z,2023-05-12T19:35:05.000z,1002,PerfTranscriber44@hmcts.net,PETERBOROUGH,Carmelo,Her Honour Judge Farmer
642116,2023-06-02T07:32:40.000z,2023-06-02T08:32:40.000z,7853,PerfTranscriber01@hmcts.net,4 NEWTON STREET,Laila,THE RECORDER OF 4 NEWTON STREET
4807601,2023-10-02T10:27:36.000z,2023-10-02T11:27:36.000z,7873,PerfTranscriber02@hmcts.net,NEWCASTLE UPON TYNE,Kingston,Her Honour Judge Martin
