hea_id,start_ts,end_ts,usr_id,defendant_name,judge_name
608680,2023-07-03T02:03:04.000z,2023-07-03T03:03:04.000z,7853,Cameron,HER HONOUR JUDGE James
609541,2023-05-31T07:28:04.000z,2023-05-31T08:28:04.000z,7853,Alivia,HER HONOUR JUDGE Green
619808,2023-11-03T12:03:08.000z,2023-11-03T13:03:08.000z,7853,Amelia,His Honour Judge Jacobs
620696,2024-04-19T17:27:06.000z,2024-04-19T18:27:06.000z,7853,Alex,Default, Judge
632258,2023-08-07T21:03:14.000z,2023-08-07T22:03:14.000z,282,Yaretzi,Palmer QC
633179,2023-10-15T00:14:15.000z,2023-10-15T01:14:15.000z,282,Paislee,HER HONOUR JUDGE Sullivan
635310,2024-04-27T15:17:57.000z,2024-04-27T16:17:57.000z,7853,Egypt,Cisneros KC
639963,2023-07-21T00:34:00.000z,2023-07-21T01:34:00.000z,282,Lucille,Default, Judge
645638,2023-12-14T15:38:20.000z,2023-12-14T16:38:20.000z,7853,Guillermo,HER HONOUR JUDGE Murphy
650818,2023-07-08T06:49:49.000z,2023-07-08T07:49:49.000z,282,Chandler,Barry KC
651789,2023-10-26T13:28:34.000z,2023-10-26T14:28:34.000z,7853,Jensen,HER HONOUR JUDGE Cain
683099,2023-10-26T01:40:06.000z,2023-10-26T02:40:06.000z,7853,Cash,Default, Judge
690387,2024-02-01T20:29:29.000z,2024-02-01T21:29:29.000z,7853,Marcelo,N/A
699072,2024-02-20T10:26:03.000z,2024-02-20T11:26:03.000z,7853,Asher,N/A
700641,2023-06-15T04:57:37.000z,2023-06-15T05:57:37.000z,282,Evie,His Honour Judge Murphy
703030,2023-08-18T07:39:37.000z,2023-08-18T08:39:37.000z,282,Sunny,HER HONOUR JUDGE Meadows
706692,2024-01-28T20:51:22.000z,2024-01-28T21:51:22.000z,7853,Emmeline,Medrano QC
717512,2024-01-08T22:53:55.000z,2024-01-08T23:53:55.000z,7853,Hanna,Ramos QC
719993,2023-06-16T19:49:14.000z,2023-06-16T20:49:14.000z,282,Conner,THE RECORDER OF 4 NEWTON STREET
732616,2023-07-01T08:42:14.000z,2023-07-01T09:42:14.000z,282,Savannah,HIS HONOUR JUDGE Richardson
735598,2023-03-06T20:51:40.000z,2023-03-06T21:51:40.000z,7853,Juan,Fox QC
760027,2023-07-23T22:20:52.000z,2023-07-23T23:20:52.000z,7853,Mylo,HER HONOUR JUDGE Rogers
761076,2023-09-12T06:03:58.000z,2023-09-12T07:03:58.000z,282,Aspen,Her Honour Judge Estrada
775440,2024-03-03T18:30:55.000z,2024-03-03T19:30:55.000z,282,Jessie,Barry KC
780885,2023-09-07T22:13:12.000z,2023-09-07T23:13:12.000z,282,Raul,Her Honour Judge McKinney
786418,2024-04-20T14:37:18.000z,2024-04-20T15:37:18.000z,282,Gustavo,Garrison QC
790362,2023-07-03T10:26:31.000z,2023-07-03T11:26:31.000z,282,Rayna,NONE
800661,2024-01-05T03:07:45.000z,2024-01-05T04:07:45.000z,660,Emilia,Marks KC
809453,2024-02-29T11:37:57.000z,2024-02-29T12:37:57.000z,561,Trinity,HER HONOUR JUDGE Blevins
809530,2024-01-17T18:37:50.000z,2024-01-17T19:37:50.000z,660,Amelia,His Honour Judge Watson
813782,2023-05-03T22:34:45.000z,2023-05-03T23:34:45.000z,561,Brynn,His Honour Judge Roy
818546,2023-06-16T03:25:23.000z,2023-06-16T04:25:23.000z,660,Bodhi,Romero QC
871364,2024-04-09T04:20:59.000z,2024-04-09T05:20:59.000z,521,Nasir,THE RECORDER OF PETERBOROUGH KNIGHTS CHAMBER
871407,2023-12-02T09:01:15.000z,2023-12-02T10:01:15.000z,521,Harley,THE RECORDER OF PETERBOROUGH KNIGHTS CHAMBER
874516,2024-04-06T02:03:44.000z,2024-04-06T03:03:44.000z,521,Hattie,N/A
883190,2023-10-12T07:58:37.000z,2023-10-12T08:58:37.000z,521,Elliott,Henry KC
922578,2024-01-14T11:05:40.000z,2024-01-14T12:05:40.000z,485,Willow,HER HONOUR JUDGE Mueller
992034,2023-06-08T14:58:27.000z,2023-06-08T15:58:27.000z,618,Kathryn,HER HONOUR JUDGE Marshall
1006069,2023-11-27T18:16:05.000z,2023-11-27T19:16:05.000z,618,Alana,Her Honour Judge Harper
1015138,2023-08-14T11:36:45.000z,2023-08-14T12:36:45.000z,326,Curtis,NONE
1015435,2023-12-27T00:15:52.000z,2023-12-27T01:15:52.000z,326,Daphne,Howell QC
1021296,2023-03-24T07:49:44.000z,2023-03-24T08:49:44.000z,326,Halo,N/A
1043838,2023-10-20T03:05:13.000z,2023-10-20T04:05:13.000z,618,Egypt,Default, Judge
1045114,2024-04-04T21:21:20.000z,2024-04-04T22:21:20.000z,618,Caroline,THE RECORDER OF DONCASTER CROWN COURT
1049611,2023-05-02T22:03:58.000z,2023-05-02T23:03:58.000z,618,Zoie,N/A
1120549,2024-02-04T00:25:03.000z,2024-02-04T01:25:03.000z,578,Jessica,HIS HONOUR JUDGE Sanders
1125703,2024-05-04T04:46:16.000z,2024-05-04T05:46:16.000z,428,Steven,Franco KC
1141441,2024-03-14T06:00:41.000z,2024-03-14T07:00:41.000z,428,Valery,Palacios QC
1152430,2023-05-27T22:48:36.000z,2023-05-27T23:48:36.000z,428,Alina,HER HONOUR JUDGE Daniels
1153116,2024-01-05T08:39:39.000z,2024-01-05T09:39:39.000z,578,Mark,Default, Judge
1155389,2024-04-25T20:08:29.000z,2024-04-25T21:08:29.000z,428,Elora,THE RECORDER OF LEICS CROWN SITTING AT LOUGH
1156170,2023-12-19T13:03:13.000z,2023-12-19T14:03:13.000z,578,Johnny,Her Honour Judge Wells
1158216,2023-07-28T19:09:34.000z,2023-07-28T20:09:34.000z,428,Baylor,THE RECORDER OF LEICS CROWN SITTING AT LOUGH
1171373,2023-05-20T01:27:06.000z,2023-05-20T02:27:06.000z,578,Sullivan,Brown KC
1175070,2023-09-01T11:22:01.000z,2023-09-01T12:22:01.000z,428,Judith,His Honour Judge Moody
1182794,2023-12-05T04:34:49.000z,2023-12-05T05:34:49.000z,468,Ainsley,His Honour Judge Myers
1194294,2023-08-18T19:35:46.000z,2023-08-18T20:35:46.000z,468,Cason,Thompson KC
1196573,2023-12-11T07:28:40.000z,2023-12-11T08:28:40.000z,468,Gabriella,HIS HONOUR JUDGE Barron
1196779,2023-10-17T01:58:06.000z,2023-10-17T02:58:06.000z,750,Emory,HIS HONOUR JUDGE Zimmerman
1218048,2023-04-23T01:30:25.000z,2023-04-23T02:30:25.000z,468,Aryan,HIS HONOUR JUDGE Coffey
1230884,2023-03-01T06:16:24.000z,2023-03-01T07:16:24.000z,468,Aubree,His Honour Judge Chambers
1241369,2024-03-12T21:52:16.000z,2024-03-12T22:52:16.000z,468,Curtis,Butler QC
1257032,2023-12-31T19:38:04.000z,2023-12-31T20:38:04.000z,301,Daphne,Default, Judge
1287619,2023-10-23T12:57:38.000z,2023-10-23T13:57:38.000z,301,Celine,HER HONOUR JUDGE Chase
1297036,2023-03-03T14:59:30.000z,2023-03-03T15:59:30.000z,301,Ahmad,THE RECORDER OF BOLTON STADIUM
1303586,2024-05-20T21:21:21.000z,2024-05-20T22:21:21.000z,637,Kayla,HER HONOUR JUDGE Small
1307763,2023-09-06T06:04:19.000z,2023-09-06T07:04:19.000z,301,Aubrey,NONE
1307921,2024-03-06T12:55:03.000z,2024-03-06T13:55:03.000z,637,Giselle,Default, Judge
1311879,2023-10-03T07:57:31.000z,2023-10-03T08:57:31.000z,306,Blaise,His Honour Judge Heath
1330423,2024-04-14T18:05:02.000z,2024-04-14T19:05:02.000z,823,Franco,Her Honour Judge Edwards
1330549,2023-11-15T03:10:01.000z,2023-11-15T04:10:01.000z,306,Theo,NONE
1331381,2023-07-13T12:37:22.000z,2023-07-13T13:37:22.000z,823,Jaycee,N/A
1345676,2023-09-11T11:26:51.000z,2023-09-11T12:26:51.000z,823,Benjamin,NONE
1351076,2024-04-09T15:41:35.000z,2024-04-09T16:41:35.000z,823,Case,HER HONOUR JUDGE Fernandez
1370047,2023-08-04T10:16:38.000z,2023-08-04T11:16:38.000z,306,Hadley,N/A
1370914,2024-04-17T01:38:07.000z,2024-04-17T02:38:07.000z,306,Damon,THE RECORDER OF CROWN COURT AT ALDERSGATE HOUSE
1378195,2023-08-20T21:53:24.000z,2023-08-20T22:53:24.000z,717,Castiel,HIS HONOUR JUDGE Brown
1380656,2024-05-12T22:08:31.000z,2024-05-12T23:08:31.000z,717,Nevaeh,HER HONOUR JUDGE Calhoun
1381871,2024-04-24T07:10:38.000z,2024-04-24T08:10:38.000z,443,Mathias,Hess QC
1382282,2024-03-18T07:12:21.000z,2024-03-18T08:12:21.000z,443,Yousef,Default, Judge
1398108,2023-07-30T00:35:35.000z,2023-07-30T01:35:35.000z,717,Jazmine,N/A
1398148,2024-03-28T18:09:20.000z,2024-03-28T19:09:20.000z,443,Harvey,Default, Judge
1406374,2023-05-07T21:26:58.000z,2023-05-07T22:26:58.000z,443,Leonel,HIS HONOUR JUDGE Bowen
1415369,2023-07-02T03:34:04.000z,2023-07-02T04:34:04.000z,443,Kash,THE RECORDER OF CHESTER TOWN HALL
1421711,2023-07-24T20:01:10.000z,2023-07-24T21:01:10.000z,717,Anya,N/A
1433077,2023-07-03T06:19:20.000z,2023-07-03T07:19:20.000z,443,Alex,Her Honour Judge Brennan
1438456,2023-12-31T11:50:02.000z,2023-12-31T12:50:02.000z,718,Florence,Her Honour Judge Cabrera
1445804,2023-12-08T18:07:32.000z,2023-12-08T19:07:32.000z,718,Karter,THE RECORDER OF TAUNTON SITTING AT WORLE
1446689,2023-10-14T18:43:21.000z,2023-10-14T19:43:21.000z,718,Harmoni,THE RECORDER OF TAUNTON SITTING AT WORLE
1455304,2023-10-19T00:36:52.000z,2023-10-19T01:36:52.000z,718,Quincy,Dixon KC
1469771,2023-09-07T22:32:00.000z,2023-09-07T23:32:00.000z,718,Elodie,Her Honour Judge Schwartz
1480471,2023-04-02T19:07:23.000z,2023-04-02T20:07:23.000z,718,Siena,Default, Judge
1487305,2023-04-24T22:38:11.000z,2023-04-24T23:38:11.000z,612,Penelope,Winters QC
1490547,2024-03-26T03:29:22.000z,2024-03-26T04:29:22.000z,612,Milan,THE RECORDER OF TAUNTON SITTING AT WORLE
1491666,2023-03-04T12:31:52.000z,2023-03-04T13:31:52.000z,612,Amani,Default, Judge
1495986,2023-07-18T08:11:45.000z,2023-07-18T09:11:45.000z,612,Gianna,HER HONOUR JUDGE Dillon
1506043,2023-07-30T03:49:23.000z,2023-07-30T04:49:23.000z,716,Eden,Noble QC
1512406,2023-09-17T16:38:40.000z,2023-09-17T17:38:40.000z,442,Marcus,His Honour Judge Hogan
1519711,2023-10-24T03:06:04.000z,2023-10-24T04:06:04.000z,716,Dustin,Holloway KC
1529132,2023-08-26T02:43:50.000z,2023-08-26T03:43:50.000z,716,Crystal,Default, Judge
1540395,2023-07-01T21:27:18.000z,2023-07-01T22:27:18.000z,442,Otis,HER HONOUR JUDGE Lyons
1541855,2023-11-17T09:59:10.000z,2023-11-17T10:59:10.000z,442,Antonio,N/A
1543801,2024-02-05T06:42:21.000z,2024-02-05T07:42:21.000z,442,Kian,HIS HONOUR JUDGE Underwood
1554314,2023-09-06T13:04:15.000z,2023-09-06T14:04:15.000z,442,Brendan,HER HONOUR JUDGE Ware
1555614,2024-04-14T16:40:03.000z,2024-04-14T17:40:03.000z,442,Blair,THE RECORDER OF CHESTER MAGISTRATES COURT
1561014,2023-06-21T13:01:56.000z,2023-06-21T14:01:56.000z,716,Jessie,N/A
1571315,2024-01-12T13:41:30.000z,2024-01-12T14:41:30.000z,363,Rylee,N/A
1571960,2023-12-23T05:14:22.000z,2023-12-23T06:14:22.000z,768,Eloise,THE RECORDER OF HARROW CC AT WILLESDEN MC
1577157,2023-09-14T17:53:19.000z,2023-09-14T18:53:19.000z,363,Damian,NONE
1579809,2024-03-09T09:47:15.000z,2024-03-09T10:47:15.000z,363,Jamir,HIS HONOUR JUDGE Hoover
1588610,2024-02-14T03:52:55.000z,2024-02-14T04:52:55.000z,363,Joyce,HER HONOUR JUDGE Villegas
1596658,2023-07-21T11:51:41.000z,2023-07-21T12:51:41.000z,768,Leyla,HER HONOUR JUDGE Lu
1603533,2023-08-17T13:43:50.000z,2023-08-17T14:43:50.000z,768,Oakleigh,Default, Judge
1606516,2023-12-31T18:35:21.000z,2023-12-31T19:35:21.000z,768,Mateo,Default, Judge
1610146,2023-09-24T22:50:53.000z,2023-09-24T23:50:53.000z,363,Ada,Chandler QC
1613759,2024-03-09T21:02:20.000z,2024-03-09T22:02:20.000z,768,Ambrose,Her Honour Judge McConnell
1695218,2023-08-24T03:52:44.000z,2023-08-24T04:52:44.000z,483,Cadence,Default, Judge
1696633,2023-07-30T19:22:19.000z,2023-07-30T20:22:19.000z,697,David,Her Honour Judge Berry
1701477,2023-11-19T11:58:56.000z,2023-11-19T12:58:56.000z,697,Raymond,Default, Judge
1711933,2023-10-03T13:09:54.000z,2023-10-03T14:09:54.000z,697,Harley,Fischer QC
1714284,2023-03-20T16:28:23.000z,2023-03-20T17:28:23.000z,483,Seth,HER HONOUR JUDGE Estrada
1725059,2023-12-28T17:15:20.000z,2023-12-28T18:15:20.000z,483,Keith,N/A
1742292,2024-02-06T09:23:38.000z,2024-02-06T10:23:38.000z,697,Aaron,THE RECORDER OF MAPLE HOUSE
1749163,2023-04-22T13:20:12.000z,2023-04-22T14:20:12.000z,483,Keenan,Her Honour Judge Bauer
1771570,2024-04-29T17:26:36.000z,2024-04-29T18:26:36.000z,580,Aaron,HIS HONOUR JUDGE Leonard
1772782,2024-02-27T05:48:45.000z,2024-02-27T06:48:45.000z,580,Blair,HIS HONOUR JUDGE Zavala
1774752,2023-04-13T12:16:48.000z,2023-04-13T13:16:48.000z,580,Jade,N/A
1778822,2023-09-21T21:41:06.000z,2023-09-21T22:41:06.000z,580,Jayleen,McCall KC
1791341,2023-07-24T18:06:20.000z,2023-07-24T19:06:20.000z,580,Helena,THE RECORDER OF LEWES CC SITTING AT CHICHESTER
1796077,2023-12-20T06:21:56.000z,2023-12-20T07:21:56.000z,580,Logan,Her Honour Judge Guerra
1798613,2023-11-29T14:59:06.000z,2023-11-29T15:59:06.000z,430,Reina,Taylor QC
1832028,2024-02-08T02:43:52.000z,2024-02-08T03:43:52.000z,261,Jair,Default, Judge
1832136,2023-06-20T04:20:43.000z,2023-06-20T05:20:43.000z,261,Addison,THE RECORDER OF BIRMINGHAM LIBRARY AND REP
1845639,2023-08-28T14:20:47.000z,2023-08-28T15:20:47.000z,634,Serenity,Sawyer QC
1850319,2023-10-06T05:39:54.000z,2023-10-06T06:39:54.000z,634,Adriana,O???Neal KC
1872753,2024-01-01T17:37:58.000z,2024-01-01T18:37:58.000z,634,Nicholas,Cochran QC
1895826,2024-01-26T06:34:53.000z,2024-01-26T07:34:53.000z,717,Zayne,HER HONOUR JUDGE Woods
1903525,2023-09-29T22:59:48.000z,2023-09-29T23:59:48.000z,611,Coraline,THE RECORDER OF TAUNTON
1903782,2023-03-30T21:21:28.000z,2023-03-30T22:21:28.000z,717,Desmond,N/A
1907865,2023-12-21T18:43:07.000z,2023-12-21T19:43:07.000z,717,Wilder,Barry QC
1908875,2023-04-25T22:57:28.000z,2023-04-25T23:57:28.000z,611,Jonah,HIS HONOUR JUDGE Barron
1911602,2023-11-24T09:59:01.000z,2023-11-24T10:59:01.000z,611,Bailey,HIS HONOUR JUDGE Casey
1915111,2024-04-26T07:08:16.000z,2024-04-26T08:08:16.000z,611,Reina,David KC
1932344,2023-03-24T03:09:38.000z,2023-03-24T04:09:38.000z,717,Nico,HIS HONOUR JUDGE Xiong
1940795,2024-03-12T17:42:14.000z,2024-03-12T18:42:14.000z,717,Leroy,THE RECORDER OF TAUNTON
1947041,2023-04-17T03:19:43.000z,2023-04-17T04:19:43.000z,717,Gabriel,Default, Judge
1951083,2023-12-18T11:03:13.000z,2023-12-18T12:03:13.000z,700,Lyric,N/A
1954928,2024-05-05T07:11:53.000z,2024-05-05T08:11:53.000z,700,Stefan,THE RECORDER OF MOLD
1958770,2023-07-27T03:55:38.000z,2023-07-27T04:55:38.000z,700,Khaleesi,Stanton QC
1964872,2023-10-19T08:43:04.000z,2023-10-19T09:43:04.000z,700,Alaia,THE RECORDER OF MOLD
1969547,2023-12-05T17:07:06.000z,2023-12-05T18:07:06.000z,486,Ricardo,THE RECORDER OF MOLD
1972122,2023-05-01T18:24:46.000z,2023-05-01T19:24:46.000z,486,Yosef,His Honour Judge Cardenas
1974527,2023-12-18T09:01:20.000z,2023-12-18T10:01:20.000z,700,Zoie,Default, Judge
1981667,2023-06-12T09:46:06.000z,2023-06-12T10:46:06.000z,486,Cassidy,HER HONOUR JUDGE McCarty
1986075,2023-11-25T21:43:54.000z,2023-11-25T22:43:54.000z,486,Aidan,HER HONOUR JUDGE Hardy
2005609,2024-04-17T22:02:02.000z,2024-04-17T23:02:02.000z,700,Holden,HIS HONOUR JUDGE Pacheco
2015377,2023-06-09T19:29:54.000z,2023-06-09T20:29:54.000z,722,Londyn,N/A
2023230,2023-03-01T08:42:56.000z,2023-03-01T09:42:56.000z,722,Khloe,N/A
2029774,2023-07-05T03:06:42.000z,2023-07-05T04:06:42.000z,722,Lennon,Durham KC
2049794,2023-06-07T00:01:15.000z,2023-06-07T01:01:15.000z,722,Arjun,NONE
2061341,2023-04-18T08:15:45.000z,2023-04-18T09:15:45.000z,682,Ramon,Default, Judge
2069992,2023-09-17T07:55:24.000z,2023-09-17T08:55:24.000z,682,Judith,N/A
2074586,2023-07-20T15:28:06.000z,2023-07-20T16:28:06.000z,682,Michael,THE RECORDER OF SHREWSBURY
2074702,2023-12-04T21:34:46.000z,2023-12-04T22:34:46.000z,722,Ruben,THE RECORDER OF SHREWSBURY
2083359,2023-06-07T12:23:41.000z,2023-06-07T13:23:41.000z,721,Camryn,Warren KC
2098392,2023-03-18T20:07:55.000z,2023-03-18T21:07:55.000z,721,Greyson,N/A
2102721,2024-03-30T00:01:26.000z,2024-03-30T01:01:26.000z,721,Halo,Chandler KC
2105194,2023-04-29T15:21:37.000z,2023-04-29T16:21:37.000z,622,Blair,Guerrero QC
2113895,2023-10-09T18:30:00.000z,2023-10-09T19:30:00.000z,721,Morgan,His Honour Judge Leonard
2115696,2024-02-14T18:16:53.000z,2024-02-14T19:16:53.000z,721,Nelson,NONE
2122663,2023-08-19T07:12:24.000z,2023-08-19T08:12:24.000z,721,Maison,His Honour Judge Blanchard
2130904,2023-07-19T08:36:03.000z,2023-07-19T09:36:03.000z,622,Orion,N/A
2140160,2023-09-17T22:22:05.000z,2023-09-17T23:22:05.000z,721,Selena,Luna KC
2143025,2023-06-22T07:06:48.000z,2023-06-22T08:06:48.000z,721,Bruce,N/A
2150184,2024-05-10T18:02:28.000z,2024-05-10T19:02:28.000z,622,Madeleine,NONE
2150373,2023-12-14T05:31:17.000z,2023-12-14T06:31:17.000z,622,Porter,Marin KC
2155124,2023-05-09T19:10:34.000z,2023-05-09T20:10:34.000z,622,Keilani,Default, Judge
2167336,2023-09-01T04:29:13.000z,2023-09-01T05:29:13.000z,622,Catherine,HER HONOUR JUDGE Peterson
2173956,2023-12-24T19:33:04.000z,2023-12-24T20:33:04.000z,622,Jaxen,HIS HONOUR JUDGE Escobar
2178787,2024-03-25T19:23:47.000z,2024-03-25T20:23:47.000z,622,Lily,His Honour Judge Mora
2179043,2023-04-06T13:00:34.000z,2023-04-06T14:00:34.000z,622,Zariah,His Honour Judge Hamilton
2180240,2023-07-04T18:43:45.000z,2023-07-04T19:43:45.000z,721,Luka,HER HONOUR JUDGE Hale
2187972,2024-04-01T19:52:04.000z,2024-04-01T20:52:04.000z,721,Ermias,Guerrero KC
2195873,2023-12-04T02:42:12.000z,2023-12-04T03:42:12.000z,721,Aubree,THE RECORDER OF SALISBURY
2206589,2023-03-17T08:31:29.000z,2023-03-17T09:31:29.000z,622,Chase,Her Honour Judge Meyer
2215445,2024-05-16T12:15:54.000z,2024-05-16T13:15:54.000z,721,Savannah,HIS HONOUR JUDGE Ochoa
2221227,2024-01-15T06:26:45.000z,2024-01-15T07:26:45.000z,622,Melina,Her Honour Judge Velasquez
2229764,2024-03-09T00:21:22.000z,2024-03-09T01:21:22.000z,622,Ander,HER HONOUR JUDGE Portillo
2231789,2024-02-12T07:02:06.000z,2024-02-12T08:02:06.000z,622,Davion,Her Honour Judge Peterson
2232246,2023-07-29T16:43:22.000z,2023-07-29T17:43:22.000z,721,Titus,Her Honour Judge Weiss
2242152,2024-02-29T13:05:59.000z,2024-02-29T14:05:59.000z,613,Joanna,Default, Judge
2261767,2023-11-07T13:18:27.000z,2023-11-07T14:18:27.000z,613,Axel,Scott QC
2269393,2024-01-24T12:11:02.000z,2024-01-24T13:11:02.000z,613,Maxine,N/A
2272650,2023-05-22T11:37:58.000z,2023-05-22T12:37:58.000z,321,Kori,Her Honour Judge James
2275723,2023-06-04T12:14:59.000z,2023-06-04T13:14:59.000z,321,Braxton,Garcia QC
2286507,2024-03-28T03:22:45.000z,2024-03-28T04:22:45.000z,613,Edgar,N/A
2288893,2023-11-29T17:53:22.000z,2023-11-29T18:53:22.000z,613,Corbin,HIS HONOUR JUDGE French
2292014,2024-02-08T13:18:33.000z,2024-02-08T14:18:33.000z,321,Cory,Default, Judge
2293211,2023-03-28T04:23:49.000z,2023-03-28T05:23:49.000z,321,Malakai,HER HONOUR JUDGE Moore
2293816,2023-08-13T06:54:01.000z,2023-08-13T07:54:01.000z,613,Samir,Her Honour Judge Vaughn
2297248,2024-02-20T15:46:25.000z,2024-02-20T16:46:25.000z,321,Wilson,HER HONOUR JUDGE Zhang
2299369,2023-08-19T15:32:32.000z,2023-08-19T16:32:32.000z,613,Chase,Her Honour Judge Horn
2305979,2023-06-10T12:10:49.000z,2023-06-10T13:10:49.000z,579,Jaime,Default, Judge
2308517,2023-12-09T21:55:19.000z,2023-12-09T22:55:19.000z,579,Persephone,N/A
2319086,2023-08-06T15:32:43.000z,2023-08-06T16:32:43.000z,579,Cade,THE RECORDER OF LEONARDO HOTEL
2321932,2023-04-20T04:31:41.000z,2023-04-20T05:31:41.000z,429,Brandon,HIS HONOUR JUDGE Morales
2331096,2024-02-14T15:37:26.000z,2024-02-14T16:37:26.000z,429,Cali,Default, Judge
2333386,2024-05-17T18:33:58.000z,2024-05-17T19:33:58.000z,429,Braelynn,THE RECORDER OF LEONARDO HOTEL
2343959,2024-05-05T17:21:58.000z,2024-05-05T18:21:58.000z,429,Elora,Default, Judge
2360200,2024-05-09T16:29:32.000z,2024-05-09T17:29:32.000z,579,Alec,THE RECORDER OF LEONARDO HOTEL
2380318,2023-08-26T06:20:59.000z,2023-08-26T07:20:59.000z,563,Deandre,Rios QC
2381474,2024-05-24T12:31:24.000z,2024-05-24T13:31:24.000z,725,Brecken,McCarty KC
2381627,2023-09-20T07:21:46.000z,2023-09-20T08:21:46.000z,563,Romina,Li QC
